symbol,name,marketcapital,pettm
VTV,价值股ETF-Vanguard,4.37463184E10,35.49
SYT,先正达,4.30025502E10,7.26
ICE,洲际交易所,4.26333591E10,16.9
NSANY,日产汽车,4.252E10,6.55
CHA,中国电信,4.247330688384E10,13.7
RELX,RELX PLC ,4.23148041E10,7.32
IMBBY,帝国烟草,4.162E10,32.51
IWM,罗素2000指数ETF,4.1561793E10,181.89
ABB,ABB Ltd,4.15200393E10,18.59
MMC,威达信,4.14954729E10,27.55
CCL,嘉年华邮轮,4.116245434336E10,14.95
IJR,标普小盘股ETF-iShares,4.10582025E10,289.04
ORAN,Orange,4.08052682E10,25.15
MFG,瑞穗金融,4.07549608E10,6.44
PLD,安博普洛斯,4.0730591E10,26.41
ZTS,Zoetis,4.06413401E10,35.54
COF,第一资本信贷,4.02465929E10,11.47
IWF,罗素1000成长指数ETF-iShares,4.021038E10,314.05
KMI,金德尔摩根,4.019032312776E10,
BAM,Brookfield资管,3.99601985E10,16.35
HUM,Humana Inc.,3.99241258E10,26.58
AIG,美国国际集团,3.9894395712E10,28.49
EMR,艾默生电气,3.98737795E10,18.4
WM,"Waste Management, Inc.",3.97867046E10,17.71
KMB,金佰利,3.96064356E10,24.92
CTSH,高知特,3.92696796E10,27.57
AABA,雅虎 ,3.89518915E10,
MU,美光科技,3.882655098888E10,
BBVA,Banco Bilbao Vizcaya Argentaria S.A.,3.86070633E10,11.58
IWD,罗素1000价值指数ETF-iShares,3.829288E10,73.46
EC,哥伦比亚国家石油,3.81357343E10,7.08
ET,Energy Transfer LP Common Units,3.81311598E10,12.67
PRU,保德信金融,3.810338E10,5.74
TRP,TransCanada Corporation,3.785788E10,14.43
RBS,苏格兰皇家银行,3.77723776E10,
PBR.A,巴西石油公司,3.7701748E10,7.15
BCE,加拿大贝尔,3.76086067E10,17.67
BAX,百特,3.75851187E10,31.96
PGR,Progressive ,3.7569744E10,12.94
BX,黑石集团,3.754034613549E10,121.89
AEP,美国电力,3.74762709E10,19.14
CAJ,佳能,3.73320394E10,11.42
MAR,万豪国际酒店,3.72002592E10,25.48
HPQ,惠普,3.70935601635E10,15.32
KDP,Keurig Dr Pepper Inc.,3.69659609E10,4.44
SHW,宣伟,3.69383908E10,20.14
TGT,塔吉特,3.68831991E10,11.78
BBT,BBT银行,3.68533793E10,13.01
AON,怡安,3.67287274E10,47.36
ATVI,动视暴雪,3.672691638E10,32.87
BCS,巴克莱银行,3.67070375E10,53.13
BND,美国全债市ETF-Vanguard,3.67036769E10,
CM,加拿大帝国商业银行,3.62273792E10,9.24
AFL,美国家庭人寿保险,3.60237386E10,7.48
ACE,"ACE, Ltd.",3.599057462E10,13.56
NOK,诺基亚,3.5678760273E10,
PSA,大众仓储,3.54186589E10,27.38
TRV,旅行者保险,3.522612732364E10,12.62
NGG,"National Grid Transco, PLC National Grid PLC (NEW) American Depositary Shares",3.50827184E10,17.14
VLO,瓦莱罗能源,3.50436177E10,8.95
WDAY,Workday,3.4915032E10,
ROST,罗斯百货,3.44684661E10,21.88
VUG,成长股ETF-Vanguard,3.43372435E10,18.48
APD,美国空气化工产品,3.42452741E10,23.67
AMAT,应用材料公司,3.42318236E10,11.06
BNI,BNI,3.414E10,20.0
FIS,繁德信息技术,3.41275524E10,22.65
IBN,印度工业信贷投资银行,3.36861649E10,58.11
F,福特汽车,3.35225002E10,5.54
NOW,"ServiceNow, Inc.",3.3444829E10,
BBDO,布拉德斯科银行,3.33640972E10,5.61
EW,Edwards Lifesciences Corporation,3.32618292E10,47.78
NTES,网易,3.3184135916E10,19.71
JD,京东,3.310559747E10,
CNQ,加拿大自然资源,3.30382898E10,11.56
DAL,达美航空,3.29851157E10,9.49
PCRFY,松下,3.297E10,23.53
LYB,利安德巴塞尔,3.29370127E10,5.73
MIELY,三菱电机,3.2909999999E10,
ADI,亚德诺,3.28738699E10,22.37
GLD,黄金ETF-SPDR,3.2832726E10,
PHG,飞利浦,3.27873221E10,22.69
VFC,VF公司,3.26730386E10,29.51
EBAY,eBay,3.23817041E10,18.24
SYY,Sysco Corporation,3.2351581E10,22.07
FCAU,Fiat Chrysler Automobiles N.V.,3.2152201628E10,29.04
HTHIY,日立,3.206E10,13.98
WMB,Williams Companies,3.19583096E10,10.6
YUM,百胜餐饮,3.1843261988E10,24.96
MFC,宏利金融,3.14577712E10,16.86
EEM,新兴市场ETF-iShares,3.1446675E10,75.18
NTR,Nutrien Ltd.,3.13492598E10,
MNST,怪兽饮料,3.1345080214E10,40.57
AMTD,宏达理财,3.10704632E10,21.38
CS,瑞士信贷,3.10555424E10,
ADSK,欧特克,3.10401223E10,
RHT,红帽,3.10232297E10,118.59
LQD,美国投资级公司债-iShares,3.0942855E10,22.13
VIG,高红利股ETF-Vanguard,3.08003037E10,9.46
ETN,伊顿公司,3.0758398E10,14.45
SRE,Sempra Energy,3.07484625E10,
MCO,穆迪,3.054104E10,28.57
TAK*,Takeda Pharmaceutical Company Limited American Depositary Shares (each representing 1/2 of a share of ) Additional Shares When I,3.05324468E10,
EQIX,易昆尼克斯,3.01199083E10,93.43
JCI,江森自控,2.98588637E10,14.11
DG,达乐,2.98452581E10,16.82
BT,英国电信,2.97485351E10,14.73
FISV,费哲金融服务,2.96860729E10,21.91
ALL,好事达保险,2.95187025E10,8.45
FTV.WD,Fortive Corporation  When Distributed,2.94289133E10,25.67
LUX,陆逊梯卡,2.93883992E10,34.27
VNQ,美国房地产ETF-Vanguard,2.9144609E10,141.36
LUV,西南航空,2.89981509E10,8.22
EA,艺电,2.848926726E10,28.29
ROP,"Roper Technologies, Inc.",2.84858915E10,25.36
HAL,哈利伯顿,2.82524922E10,153.57
CP,加拿大太平洋铁路,2.81609707E10,15.38
ORLY,"O'Reilly Automotive, Inc.",2.78939361E10,21.91
TLK,印尼电信,2.7886014E10,1407.5
RACE,法拉利,2.7806566011E10,32.74
PDD,拼多多,2.768358076155E10,
KR,克罗格,2.760900859665E10,14.01
TEL,泰科电子,2.73501008E10,10.89
WELL,Welltower Inc.,2.73131054E10,59.6
BSV,美国短期债券-Vanguard,2.72402796E10,260.58
STT,道富银行,2.70608946E10,11.37
MITSY,三井物产,2.697E10,9.65
CHT,中华电信,2.67942204E10,203.18
STZ,星座品牌,2.67076516E10,10.54
CHU,中国联通,2.667704832312E10,108.16
MPLX,MPLX LP Common Units Representing Limited Partner Interests,2.65699405E10,16.01
SQ,"Square, Inc.",2.652588333024E10,
SIRI,Sirius XM控股,2.64799594E10,30.25
GLW,康宁,2.6458978128E10,
ERIC,爱立信,2.62689837E10,
PEG,Public Service Enterprise Group Incorporated,2.62530579E10,12.02
STI,太阳信托银行,2.60765138E10,9.99
XEL,埃克西尔能源,2.60558443E10,20.95
GIS,通用磨坊,2.59406754E10,12.67
EQR,公平住屋,2.58350565E10,38.96
CNC,Centene Corporation,2.58286697E10,26.82
ALXN,Alexion制药,2.5571336E10,25.03
TRI,汤森路透,2.54831416E10,27.43
OKE,欧尼克,2.54632754E10,28.66
