,0,1,2,3,4,5
0,000913.SZ,10,8,7,5,5
0,000915.SZ,11,5,1,0,0
0,000917.SZ,22,20,17,15,15
0,000918.SZ,14,10,5,3,2
0,000919.SZ,2,1,1,0,0
0,000920.SZ,10,6,1,1,1
0,000921.SZ,8,5,5,4,4
0,000922.SZ,6,5,3,2,2
0,000923.SZ,12,4,4,4,3
0,000925.SZ,12,7,5,3,2
0,000926.SZ,1,1,0,0,0
0,000927.SZ,10,8,8,6,5
0,000928.SZ,10,7,6,5,5
0,000929.SZ,2,2,2,2,2
0,000930.SZ,6,5,4,3,1
0,000931.SZ,14,9,8,7,6
0,000932.SZ,13,2,1,1,1
0,000933.SZ,12,11,7,5,4
0,000935.SZ,14,11,7,7,7
0,000936.SZ,22,20,15,11,11
0,000937.SZ,2,1,0,0,0
0,000938.SZ,14,8,6,3,2
0,000939.SZ,12,0,0,0,0
0,000948.SZ,17,10,8,7,6
0,000949.SZ,3,2,0,0,0
0,000950.SZ,5,4,4,3,3
0,000951.SZ,4,0,0,0,0
0,000952.SZ,12,7,5,4,4
0,000953.SZ,12,0,0,0,0
0,000955.SZ,17,13,12,12,12
0,000957.SZ,17,14,11,9,9
0,000958.SZ,9,7,4,3,3
0,000959.SZ,1,1,1,1,1
0,000960.SZ,9,5,2,2,2
0,000961.SZ,7,4,4,4,2
0,000962.SZ,14,9,8,8,8
0,000963.SZ,9,7,4,2,1
0,000965.SZ,3,2,1,1,1
0,000966.SZ,10,8,6,5,4
0,000967.SZ,3,2,2,1,0
0,000968.SZ,10,6,4,4,3
0,000969.SZ,6,4,3,3,3
0,000970.SZ,8,3,1,0,0
0,000971.SZ,30,28,25,23,23
0,000972.SZ,6,0,0,0,0
0,000973.SZ,14,5,3,3,3
0,000975.SZ,7,4,0,0,0
0,000976.SZ,10,8,2,2,2
0,000977.SZ,26,13,12,10,7
0,000978.SZ,0,0,0,0,0
0,000980.SZ,10,5,3,3,3
0,000981.SZ,13,9,6,5,4
0,000982.SZ,11,0,0,0,0
0,000983.SZ,3,1,0,0,0
0,000985.SZ,8,6,6,4,4
0,000987.SZ,16,13,6,6,6
0,000988.SZ,5,2,1,1,1
0,000989.SZ,13,10,7,1,1
0,000990.SZ,7,6,4,4,4
0,000993.SZ,11,11,11,8,8
0,000995.SZ,13,3,3,3,3
0,000996.SZ,16,11,9,8,8
0,000997.SZ,6,2,2,2,2
0,000998.SZ,4,0,0,0,0
0,000999.SZ,3,1,1,0,0
0,001696.SZ,5,3,2,1,1
0,001872.SZ,2,1,1,1,1
0,001896.SZ,3,2,0,0,0
0,001965.SZ,4,3,3,3,2
0,001979.SZ,6,3,2,1,1
0,002001.SZ,11,6,4,3,2
0,002002.SZ,10,7,7,6,6
0,002003.SZ,2,2,2,2,1
0,002004.SZ,2,0,0,0,0
0,002005.SZ,9,4,3,3,3
0,002006.SZ,10,7,7,7,7
0,002007.SZ,13,10,6,3,2
0,002008.SZ,13,8,2,1,1
0,002009.SZ,9,6,5,3,1
0,002010.SZ,6,6,4,3,1
0,002011.SZ,16,11,10,10,10
0,002012.SZ,23,18,14,9,7
0,002013.SZ,11,6,5,2,1
0,002014.SZ,2,2,1,1,1
0,002015.SZ,9,9,7,7,6
0,002016.SZ,17,14,11,10,10
0,002017.SZ,29,25,23,21,19
0,002018.SZ,9,1,1,1,0
0,002019.SZ,7,5,5,5,3
0,002020.SZ,7,4,3,2,2
0,002021.SZ,20,13,10,8,8
0,002022.SZ,3,2,2,1,1
0,002023.SZ,19,13,5,4,4
0,002024.SZ,5,2,1,0,0
0,002025.SZ,10,5,3,1,1
0,002026.SZ,4,3,3,3,3
0,002027.SZ,12,10,8,5,3
0,002028.SZ,11,5,5,5,3
0,002029.SZ,6,4,1,1,0
0,002030.SZ,5,5,2,2,1
0,002031.SZ,7,5,5,4,4
0,002032.SZ,12,10,5,3,2
0,002033.SZ,2,1,0,0,0
0,002034.SZ,18,14,10,8,7
0,002035.SZ,20,10,4,2,1
0,002036.SZ,13,7,5,3,3
0,002037.SZ,4,3,1,1,1
0,002038.SZ,8,2,2,2,2
0,002039.SZ,0,0,0,0,0
0,002040.SZ,9,7,5,5,5
0,002041.SZ,10,7,5,4,3
0,002042.SZ,4,2,1,1,0
0,002043.SZ,5,3,1,1,1
0,002044.SZ,9,6,1,1,1
0,002045.SZ,15,7,6,6,4
0,002046.SZ,8,6,4,4,4
0,002047.SZ,4,1,0,0,0
0,002048.SZ,2,1,0,0,0
0,002049.SZ,21,11,7,6,4
0,002050.SZ,12,8,5,3,1
0,002051.SZ,3,3,0,0,0
0,002052.SZ,18,15,13,13,13
0,002053.SZ,6,3,3,3,3
0,002054.SZ,23,16,15,14,14
0,002055.SZ,10,5,3,3,2
0,002056.SZ,8,2,1,1,1
0,002057.SZ,6,5,3,3,3
0,002058.SZ,17,13,12,11,11
0,002059.SZ,7,2,2,2,2
0,002060.SZ,3,2,1,1,1
0,002061.SZ,11,7,4,1,0
0,002062.SZ,2,2,1,1,0
0,002063.SZ,17,12,10,8,7
0,002064.SZ,2,0,0,0,0
0,002065.SZ,12,8,4,3,2
0,002066.SZ,11,6,6,6,6
0,002067.SZ,8,4,2,2,2
0,002068.SZ,4,3,3,3,2
0,002069.SZ,8,5,5,5,4
0,002070.SZ,4,0,0,0,0
0,002071.SZ,6,4,4,3,3
0,002072.SZ,19,17,14,12,12
0,002073.SZ,6,4,4,4,4
0,002074.SZ,11,6,3,2,1
0,002075.SZ,8,5,5,4,2
0,002076.SZ,26,25,18,17,17
0,002077.SZ,16,12,8,7,6
0,002078.SZ,9,3,3,2,1
0,002079.SZ,14,10,8,4,4
0,002080.SZ,12,8,6,6,5
0,002081.SZ,4,1,1,1,0
0,002082.SZ,6,4,1,0,0
0,002083.SZ,1,1,1,1,1
0,002084.SZ,7,5,3,3,3
0,002085.SZ,5,4,1,0,0
0,002086.SZ,5,1,1,1,1
0,002087.SZ,2,1,1,0,0
0,002088.SZ,5,3,3,3,2
0,002089.SZ,22,14,11,9,9
0,002090.SZ,9,6,4,3,3
0,002091.SZ,4,3,1,1,1
0,002092.SZ,5,2,0,0,0
0,002093.SZ,11,6,4,4,4
0,002094.SZ,6,4,2,2,2
0,002095.SZ,18,12,9,8,7
0,002096.SZ,6,5,3,3,3
0,002097.SZ,1,1,1,1,1
0,002098.SZ,20,20,16,15,15
0,002099.SZ,5,4,4,4,4
0,002100.SZ,12,8,6,5,4
0,002101.SZ,5,1,1,0,0
0,002102.SZ,10,4,2,2,2
0,002103.SZ,14,9,8,8,8
0,002104.SZ,8,3,1,1,1
0,002105.SZ,8,2,1,0,0
0,002106.SZ,8,4,1,1,1
0,002107.SZ,5,3,1,1,1
0,002108.SZ,12,9,6,6,6
0,002109.SZ,8,5,4,4,4
0,002110.SZ,11,9,4,3,2
0,002111.SZ,4,4,1,1,0
0,002112.SZ,24,19,17,17,17
0,002113.SZ,17,14,11,8,8
0,002114.SZ,11,8,4,2,2
0,002115.SZ,16,7,5,4,4
0,002116.SZ,9,4,2,2,2
0,002117.SZ,12,8,6,4,3
0,002118.SZ,21,14,8,6,6
0,002119.SZ,8,6,3,3,3
0,002120.SZ,10,5,2,2,2
0,002121.SZ,9,8,5,5,5
0,002122.SZ,13,0,0,0,0
