id,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange,index,Name_CN
6913,AEIS,"Advanced Energy Industries, Inc.",45.61,1755485798.55,,1995.0,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeis,NASDAQ,56,先进能源
6914,AMD,"Advanced Micro Devices, Inc.",19.73,19718304371.68,,,Technology,Semiconductors,https://www.nasdaq.com/symbol/amd,NASDAQ,57,AMD
6915,ADXS,"Advaxis, Inc.",0.37,25713205.13,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adxs,NASDAQ,58,
6916,ADVM,"Adverum Biotechnologies, Inc.",3.19,200550129.01,,2014.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/advm,NASDAQ,59,
6917,DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,20.3,1522500,,,,,https://www.nasdaq.com/symbol/dwmc,NASDAQ,60,
6918,DWSH,AdvisorShares Dorsey Wright Short ETF,26.7759,14057347.5,,,,,https://www.nasdaq.com/symbol/dwsh,NASDAQ,61,
6919,ACT,AdvisorShares Vice ETF,22.3532,11735430,,,,,https://www.nasdaq.com/symbol/act,NASDAQ,62,
6920,AEGN,Aegion Corp,18.39,594254276.1,,,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/aegn,NASDAQ,63,
6921,AGLE,"Aeglea BioTherapeutics, Inc.",9.09,217815616.26,,2016.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agle,NASDAQ,64,
6922,AEHR,Aehr Test Systems,1.14,25359408.3,,1997.0,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aehr,NASDAQ,65,
6923,AMTX,"Aemetis, Inc",0.865,17598803.005,,,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amtx,NASDAQ,66,
6924,AERI,"Aerie Pharmaceuticals, Inc.",42.15,1915869872.25,,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/aeri,NASDAQ,67,
6925,AVAV,"AeroVironment, Inc.",73.1,1749164066.3,,2007.0,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/avav,NASDAQ,68,AeroViro
6926,ARPO,"Aerpio Pharmaceuticals, Inc.",2.9099,118107032.8396,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/arpo,NASDAQ,69,
6927,AEZS,AEterna Zentaris Inc.,3.6,59186736,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aezs,NASDAQ,70,
6928,AEMD,"Aethlon Medical, Inc.",1.3,23818005.9,,,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/aemd,NASDAQ,71,
6929,GNMX,"Aevi Genomic Medicine, Inc.",0.1933,12519438.2906,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/gnmx,NASDAQ,72,
6930,AFMD,Affimed N.V.,3.59,224116232.8,,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/afmd,NASDAQ,73,
6931,AGEN,Agenus Inc.,3.19,382786238.34,,2000.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/agen,NASDAQ,74,
6932,AGRX,"Agile Therapeutics, Inc.",0.78,26814316.62,,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agrx,NASDAQ,75,
6933,AGYS,"Agilysys, Inc.",14.12,332219751.32,,,Technology,EDP Services,https://www.nasdaq.com/symbol/agys,NASDAQ,76,
6934,AGIO,"Agios Pharmaceuticals, Inc.",56.2,3269641591.2,,2013.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agio,NASDAQ,77,
6935,AGMH,AGM Group Holdings Inc.,31.0,1029697705,,2018.0,Technology,EDP Services,https://www.nasdaq.com/symbol/agmh,NASDAQ,78,
6936,AGNC,AGNC Investment Corp.,17.98,9384284768.5,,2008.0,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agnc,NASDAQ,79,
6937,AGNCB,AGNC Investment Corp.,25.13,8706290585.79,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncb,NASDAQ,80,
6938,AGNCN,AGNC Investment Corp.,25.4,0,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncn,NASDAQ,81,
6939,AGFS,"AgroFresh Solutions, Inc.",4.04,203774408.4,,2014.0,Finance,Business Services,https://www.nasdaq.com/symbol/agfs,NASDAQ,82,
6940,AGFSW,"AgroFresh Solutions, Inc.",0.14,0,,2014.0,Finance,Business Services,https://www.nasdaq.com/symbol/agfsw,NASDAQ,83,
6941,ALRN,"Aileron Therapeutics, Inc.",1.4693,21669934.3175,,2017.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alrn,NASDAQ,84,
6942,AIMT,"Aimmune Therapeutics, Inc.",23.47,1454394522.39,,2015.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aimt,NASDAQ,85,
6943,AIRT,"Air T, Inc.",30.28,61456711.92,,,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airt,NASDAQ,86,
6944,ATSG,"Air Transport Services Group, Inc",23.28,1375391409.36,,,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/atsg,NASDAQ,87,
6945,AIRG,"Airgain, Inc.",11.46,113622588.06,,2016.0,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/airg,NASDAQ,88,
6946,AMCN,AirMedia Group Inc,0.394,17800033.106,45177749.0,2007.0,Technology,Advertising,https://www.nasdaq.com/symbol/amcn,NASDAQ,89,航美传媒
6947,AKAM,"Akamai Technologies, Inc.",63.82,10394109779.32,,1999.0,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/akam,NASDAQ,90,阿克迈
6948,AKTX,Akari Therapeutics Plc,1.91,29048000.07,15208377.0,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aktx,NASDAQ,91,
6949,AKCA,"Akcea Therapeutics, Inc.",30.64,2734910314,,2017.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akca,NASDAQ,92,
6950,AKBA,"Akebia Therapeutics, Inc.",6.18,722364861.24,,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akba,NASDAQ,93,
6951,AKER,Akers Biosciences Inc.,1.47,18336821.16,,2014.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/aker,NASDAQ,94,
6952,AKRX,"Akorn, Inc.",3.64,456792237.72,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akrx,NASDAQ,95,
6953,AKTS,"Akoustis Technologies, Inc.",6.03,179542273.14,,,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/akts,NASDAQ,96,
6954,ALRM,"Alarm.com Holdings, Inc.",57.65,2767380617.45,,2015.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/alrm,NASDAQ,97,
6955,ALSK,"Alaska Communications Systems Group, Inc.",1.89,100520553.42,,1999.0,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/alsk,NASDAQ,98,
6956,ALAC,Alberton Acquisition Corporation,9.86,144840935,,2018.0,Finance,Business Services,https://www.nasdaq.com/symbol/alac,NASDAQ,99,
6957,ALACR,Alberton Acquisition Corporation,0.25,0,,2018.0,Finance,Business Services,https://www.nasdaq.com/symbol/alacr,NASDAQ,100,
6958,ALACU,Alberton Acquisition Corporation,10.13,0,,2018.0,Finance,Business Services,https://www.nasdaq.com/symbol/alacu,NASDAQ,101,
6959,ALACW,Alberton Acquisition Corporation,0.12,0,,2018.0,Finance,Business Services,https://www.nasdaq.com/symbol/alacw,NASDAQ,102,
6960,ALBO,"Albireo Pharma, Inc.",24.25,290270754,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/albo,NASDAQ,103,
6961,ABDC,Alcentra Capital Corp.,6.88,92998569.92,,,,,https://www.nasdaq.com/symbol/abdc,NASDAQ,104,
6962,ALDR,"Alder BioPharmaceuticals, Inc.",11.65,796005041.45,,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldr,NASDAQ,105,
6963,ALDX,"Aldeyra Therapeutics, Inc.",8.97,235412572.98,,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldx,NASDAQ,106,
